Date,Euribor_Futures,Euro_BOBL,Euro_BTP,Euro_Bund,Euro_OAT,Euro_SCHATZ,Euro-Buxl_Futures,Japan_Government,Short_Sterling,Short-Term_Euro-BTP,UK_Gilt,US_10,US_2,US_30,US_5
2014-01-02,99.74,124.41,115.81,139.12,131.55,110.295,121.6,143.26,99.43,109.42,106.52,123.22,109.91,128.62,119.41
2014-01-03,99.74,124.45,116.05,139.09,131.62,110.295,121.4,143.27,99.43,109.52,106.6,123.17,109.88,128.53,119.35
2014-01-06,99.72,124.61,116.13,139.54,131.88,110.295,121.96,143.54,99.44,109.46,107.21,123.47,109.9,129.03,119.51
2014-01-07,99.71,124.72,116.68,139.76,132.22,110.295,122.28,143.81,99.44,109.63,107.44,123.69,109.91,129.31,119.62
2014-01-08,99.71,124.6,116.61,139.54,132.1,110.265,121.88,143.73,99.44,109.54,107.15,123.11,109.83,128.78,119.16
2014-01-09,99.71,124.65,116.41,139.56,131.71,110.315,121.78,143.78,99.44,109.57,107.22,123.33,109.83,129.34,119.25
2014-01-10,99.72,125.01,116.25,140.25,132.26,110.365,122.26,143.82,99.44,109.58,108.19,124.3,109.95,130.72,119.85
2014-01-13,99.72,125.19,116.45,140.65,132.55,110.38,122.9,144.17,99.46,109.64,108.69,124.58,109.99,131.09,120.01
2014-01-14,99.69,125.15,116.57,140.68,132.75,110.33,123.16,144.34,99.46,109.64,108.72,124.17,109.93,130.66,119.75
2014-01-15,99.68,125.08,116.75,140.54,132.59,110.325,122.98,144.22,99.46,109.66,108.37,123.97,109.91,130.53,119.61
2014-01-16,99.68,125.41,116.91,141.16,133.05,110.395,123.76,144.18,99.46,109.67,108.94,124.27,109.91,131.09,119.76
2014-01-17,99.7,125.55,117.17,141.4,133.45,110.41,124.14,144.2,99.46,109.66,108.78,124.42,109.93,131.31,119.83
2014-01-20,99.7,125.62,117.38,141.57,133.67,110.43,124.44,144.3,99.46,109.73,108.93,124.42,109.95,131.39,119.84
2014-01-21,99.7,125.68,117.11,141.65,133.57,110.43,124.68,144.03,99.46,109.67,108.89,124.38,109.94,131.41,119.77
2014-01-22,99.71,125.63,117.06,141.51,133.27,110.43,124.32,144.15,99.46,109.66,108.52,123.97,109.88,131.06,119.52
2014-01-23,99.71,125.81,116.8,142.04,133.49,110.455,125.26,144.35,99.46,109.65,109.23,124.78,109.97,132.31,120.05
2014-01-24,99.71,126.11,116.42,142.66,134.04,110.525,126.32,144.62,99.46,109.54,109.65,125.06,110.0,132.84,120.18
2014-01-27,99.69,126.04,116.43,142.55,134.18,110.51,126.26,144.64,99.46,109.56,109.57,124.81,109.99,132.34,120.08
2014-01-28,99.71,126.05,116.9,142.46,134.17,110.52,126.18,144.66,99.46,109.67,109.31,125.08,110.02,132.62,120.25
2014-01-29,99.71,126.26,116.86,142.9,134.48,110.55,126.78,144.55,99.46,109.63,109.79,125.62,110.07,133.5,120.55
2014-01-30,99.72,126.42,117.14,143.23,134.91,110.585,127.18,144.72,99.46,109.74,109.98,125.45,110.08,133.28,120.48
2014-01-31,99.75,126.73,117.67,143.88,135.78,110.645,128.28,144.74,99.46,109.93,110.39,125.75,110.1,133.59,120.62
2014-02-03,99.74,126.75,117.65,144.02,135.9,110.63,128.28,144.78,99.46,109.92,110.51,126.42,110.16,134.91,120.97
2014-02-04,99.74,126.76,117.61,143.98,135.79,110.625,128.28,144.82,99.46,109.96,110.49,126.14,110.14,134.16,120.88
2014-02-05,99.74,126.79,117.86,144.07,135.81,110.63,128.44,144.88,99.46,110.02,110.58,125.88,110.12,133.41,120.76
2014-02-06,99.71,126.37,117.88,143.33,135.16,110.535,127.34,144.8,99.46,109.98,109.99,125.61,110.11,133.03,120.65
2014-02-07,99.71,126.68,118.47,143.83,135.59,110.595,127.88,144.7,99.46,110.12,110.34,125.97,110.15,133.31,120.91
2014-02-10,99.71,126.59,118.48,143.65,135.28,110.57,127.44,144.85,99.46,110.06,110.24,125.94,110.14,133.28,120.84
