"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","172.77","172.74","172.77","172.38","0.27K","0.10%"
"Nov 27, 2020","172.60","172.62","172.89","172.53","0.12K","0.06%"
"Nov 26, 2020","172.49","172.00","172.50","172.00","0.05K","0.15%"
"Nov 25, 2020","172.24","171.91","172.28","171.91","0.03K","0.08%"
"Nov 24, 2020","172.11","172.18","172.18","171.94","0.02K","-0.03%"
"Nov 23, 2020","172.16","172.15","172.31","172.14","0.05K","-0.02%"
"Nov 20, 2020","172.19","172.14","172.25","172.05","0.04K","0.05%"
"Nov 19, 2020","172.10","172.00","172.16","172.00","0.08K","0.16%"
"Nov 18, 2020","171.82","171.88","171.95","171.68","0.07K","0.03%"
"Nov 17, 2020","171.77","171.59","171.90","171.59","0.04K","0.14%"
"Nov 16, 2020","171.53","171.68","171.93","171.34","0.12K","-0.13%"
"Nov 13, 2020","171.76","171.69","172.10","171.40","0.07K","0.13%"
"Nov 12, 2020","171.54","171.07","171.57","171.07","0.04K","0.34%"
"Nov 11, 2020","170.96","170.61","171.01","170.36","0.14K","0.14%"
"Nov 10, 2020","170.72","171.15","171.51","170.65","0.13K","-0.33%"
"Nov 09, 2020","171.29","172.23","172.51","171.16","0.27K","-0.55%"
"Nov 06, 2020","172.23","172.18","172.46","172.06","0.11K","-0.05%"
"Nov 05, 2020","172.31","172.41","172.64","172.21","0.05K","-0.05%"
"Nov 04, 2020","172.40","172.84","172.84","172.12","0.04K","0.10%"
"Nov 03, 2020","172.23","172.64","172.64","172.16","0.09K","-0.27%"
"Nov 02, 2020","172.70","172.60","172.80","172.51","0.05K","0.06%"
"Oct 30, 2020","172.59","172.97","173.05","172.52","0.08K","-0.16%"
"Oct 29, 2020","172.86","173.00","173.00","172.60","0.09K","0.02%"
"Oct 28, 2020","172.83","172.85","173.00","172.60","0.09K","0.24%"
"Oct 27, 2020","172.42","172.19","172.56","172.15","0.04K","0.19%"
"Oct 26, 2020","172.09","172.39","172.41","171.88","0.06K","0.01%"
"Oct 23, 2020","172.08","172.26","172.32","171.89","0.07K","-0.10%"
"Oct 22, 2020","172.25","172.23","172.41","172.05","0.07K","-0.07%"
"Oct 21, 2020","172.37","172.68","172.74","172.25","0.09K","-0.24%"
"Oct 20, 2020","172.78","173.06","173.20","172.80","0.07K","-0.18%"
"Oct 19, 2020","173.09","173.26","173.31","172.73","0.18K","-0.04%"
"Oct 16, 2020","173.16","173.05","173.22","172.98","0.10K","0.09%"
"Oct 15, 2020","173.01","172.68","173.20","172.68","0.16K","0.30%"
"Oct 14, 2020","172.49","172.21","172.66","172.11","0.08K","0.35%"
"Oct 13, 2020","171.88","171.55","171.93","171.55","0.06K","0.17%"
"Oct 12, 2020","171.59","172.23","172.23","171.29","0.10K","-0.22%"
"Oct 09, 2020","171.97","172.20","172.25","171.75","0.12K","-0.06%"
"Oct 08, 2020","172.07","171.98","172.13","171.97","0.02K","0.08%"
"Oct 07, 2020","171.93","172.06","172.11","171.80","0.03K","-0.02%"
"Oct 06, 2020","171.96","172.20","172.20","171.85","0.05K","-0.15%"
"Oct 05, 2020","172.22","172.45","172.45","172.09","0.07K","-0.13%"
"Oct 02, 2020","172.44","172.36","172.49","172.30","0.06K","0.04%"
"Oct 01, 2020","172.37","172.08","172.47","171.98","0.09K","0.10%"
"Sep 30, 2020","172.19","172.26","172.30","171.88","0.11K","0.03%"
"Sep 29, 2020","172.14","172.06","172.23","172.06","0.07K","0.09%"
"Sep 28, 2020","171.99","171.83","172.07","171.80","0.06K","0.04%"
"Sep 25, 2020","171.92","171.68","172.06","171.60","0.04K","0.15%"
"Sep 24, 2020","171.67","171.72","171.94","171.64","0.14K","0.09%"
"Sep 23, 2020","171.51","171.53","171.70","171.37","0.02K","0.05%"
"Sep 22, 2020","171.42","171.60","171.90","171.35","0.10K","-0.25%"
"Sep 21, 2020","171.85","171.60","171.92","171.35","0.10K","0.20%"
"Sep 18, 2020","171.51","171.42","171.72","171.36","0.06K","-0.16%"
"Sep 17, 2020","171.79","171.73","171.90","171.43","0.05K","0.19%"
"Sep 16, 2020","171.46","171.56","171.73","171.50","0.03K","0.02%"
"Sep 15, 2020","171.43","171.29","171.60","171.24","0.03K","0.11%"
"Sep 14, 2020","171.25","171.19","171.41","170.98","0.11K","0.16%"
"Sep 11, 2020","170.98","171.02","171.24","170.58","0.11K","0.16%"
"Sep 10, 2020","170.71","171.02","171.19","170.49","0.18K","-0.22%"
"Sep 09, 2020","171.09","172.12","172.12","170.87","0.14K","-1.98%"
"Sep 08, 2020","174.54","174.49","174.70","174.41","0.06K","0.26%"
"Sep 07, 2020","174.09","173.85","174.23","173.29","0.17K","-0.02%"
