"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","100.53","100.53","100.53","100.53","-","0.00%"
"Nov 27, 2020","100.53","100.53","100.54","100.53","18.31K","0.00%"
"Nov 26, 2020","100.53","100.53","100.53","100.53","42.57K","0.00%"
"Nov 25, 2020","100.53","100.53","100.53","100.53","16.39K","0.00%"
"Nov 24, 2020","100.53","100.53","100.53","100.53","25.82K","0.00%"
"Nov 23, 2020","100.53","100.54","100.54","100.53","79.25K","0.00%"
"Nov 20, 2020","100.53","100.54","100.54","100.53","31.55K","0.00%"
"Nov 19, 2020","100.53","100.54","100.54","100.53","42.89K","-0.00%"
"Nov 18, 2020","100.54","100.53","100.54","100.53","76.31K","0.01%"
"Nov 17, 2020","100.53","100.53","100.53","100.52","36.95K","0.00%"
"Nov 16, 2020","100.52","100.51","100.51","100.51","1.64K","0.01%"
"Nov 13, 2020","100.51","100.51","100.51","100.51","6.73K","0.00%"
"Nov 12, 2020","100.51","100.51","100.51","100.51","4.76K","0.00%"
"Nov 11, 2020","100.51","100.51","100.52","100.51","12.49K","0.00%"
"Nov 10, 2020","100.51","100.51","100.51","100.51","3.69K","0.00%"
"Nov 09, 2020","100.51","100.51","100.52","100.51","10.20K","0.00%"
"Nov 06, 2020","100.51","100.51","100.52","100.51","7.57K","0.00%"
"Nov 05, 2020","100.52","100.52","100.52","100.51","2.92K","0.00%"
"Nov 04, 2020","100.52","100.53","100.53","100.51","5.55K","0.00%"
"Nov 03, 2020","100.52","100.53","100.53","100.52","4.72K","0.00%"
"Nov 02, 2020","100.52","100.53","100.53","100.52","5.02K","0.00%"
"Oct 30, 2020","100.52","100.52","100.53","100.51","2.63K","-0.00%"
"Oct 29, 2020","100.53","100.51","100.53","100.51","24.87K","0.01%"
"Oct 28, 2020","100.51","100.51","100.52","100.51","8.25K","0.00%"
"Oct 27, 2020","100.51","100.51","100.51","100.51","2.69K","0.00%"
"Oct 26, 2020","100.51","100.51","100.51","100.51","1.94K","0.00%"
"Oct 23, 2020","100.51","100.51","100.51","100.51","6.69K","0.00%"
"Oct 22, 2020","100.51","100.51","100.51","100.51","5.94K","0.00%"
"Oct 21, 2020","100.51","100.51","100.51","100.50","9.36K","0.00%"
"Oct 20, 2020","100.51","100.51","100.51","100.51","9.24K","0.00%"
"Oct 19, 2020","100.51","100.51","100.51","100.51","3.71K","0.00%"
"Oct 16, 2020","100.51","100.51","100.51","100.50","5.30K","0.00%"
"Oct 15, 2020","100.51","100.51","100.52","100.50","15.23K","0.00%"
