"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","135.41","135.53","135.56","135.38","-","-0.06%"
"Nov 27, 2020","135.49","135.50","135.54","135.46","199.97K","0.01%"
"Nov 26, 2020","135.48","135.42","135.51","135.39","140.54K","0.03%"
"Nov 25, 2020","135.44","135.37","135.49","135.33","307.23K","0.02%"
"Nov 24, 2020","135.41","135.41","135.49","135.36","266.63K","-0.03%"
"Nov 23, 2020","135.45","135.51","135.53","135.41","262.21K","-0.03%"
"Nov 20, 2020","135.49","135.44","135.54","135.37","287.68K","0.08%"
"Nov 19, 2020","135.38","135.38","135.42","135.33","288.45K","0.03%"
"Nov 18, 2020","135.34","135.38","135.44","135.29","285.89K","-0.01%"
"Nov 17, 2020","135.36","135.30","135.39","135.28","335.82K","0.04%"
"Nov 16, 2020","135.30","135.33","135.44","135.17","336.82K","-0.01%"
"Nov 13, 2020","135.32","135.35","135.39","135.29","321.16K","0.04%"
"Nov 12, 2020","135.27","135.21","135.36","135.15","356.51K","0.08%"
"Nov 11, 2020","135.16","135.11","135.23","135.00","400.05K","0.04%"
"Nov 10, 2020","135.11","135.29","135.32","135.09","611.19K","-0.10%"
"Nov 09, 2020","135.25","135.77","135.87","135.22","639.68K","-0.37%"
"Nov 06, 2020","135.75","135.86","135.87","135.69","303.91K","-0.04%"
"Nov 05, 2020","135.81","135.90","135.95","135.75","311.73K","-0.04%"
"Nov 04, 2020","135.87","135.71","136.03","135.60","416.02K","0.04%"
"Nov 03, 2020","135.81","135.90","135.91","135.76","281.39K","-0.05%"
"Nov 02, 2020","135.88","135.90","135.93","135.78","280.08K","0.01%"
"Oct 30, 2020","135.87","135.88","135.95","135.79","333.39K","-0.06%"
"Oct 29, 2020","135.95","135.82","135.96","135.79","374.80K","0.10%"
"Oct 28, 2020","135.82","135.79","135.90","135.77","336.79K","0.05%"
"Oct 27, 2020","135.75","135.59","135.77","135.53","272.45K","0.15%"
"Oct 26, 2020","135.54","135.63","135.67","135.47","264.87K","-0.01%"
"Oct 23, 2020","135.55","135.55","135.65","135.47","303.67K","-0.01%"
"Oct 22, 2020","135.56","135.69","135.72","135.54","295.27K","-0.11%"
"Oct 21, 2020","135.71","135.70","135.76","135.60","335.62K","-0.03%"
"Oct 20, 2020","135.75","135.81","135.86","135.68","274.99K","-0.04%"
"Oct 19, 2020","135.81","135.74","135.84","135.71","261.34K","0.04%"
"Oct 16, 2020","135.76","135.66","135.82","135.66","294.71K","0.04%"
"Oct 15, 2020","135.71","135.51","135.82","135.51","459.78K","0.14%"
"Oct 14, 2020","135.52","135.44","135.58","135.42","303.56K","0.07%"
"Oct 13, 2020","135.43","135.41","135.47","135.36","291.98K","0.04%"
"Oct 12, 2020","135.37","135.34","135.39","135.32","187.02K","0.03%"
"Oct 09, 2020","135.33","135.25","135.38","135.24","312.83K","0.08%"
"Oct 08, 2020","135.22","135.09","135.27","135.07","290.61K","0.10%"
