"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","151.06","151.50","151.63","151.00","140.10K","-0.29%"
"Nov 27, 2020","151.50","151.40","151.60","151.25","105.08K","0.07%"
"Nov 26, 2020","151.40","151.26","151.48","151.18","58.36K","0.05%"
"Nov 25, 2020","151.32","151.29","151.57","151.15","84.21K","0.03%"
"Nov 24, 2020","151.27","151.18","151.46","151.10","67.74K","0.06%"
"Nov 23, 2020","151.18","151.07","151.29","150.96","68.69K","0.13%"
"Nov 20, 2020","150.99","150.93","151.07","150.75","73.98K","0.08%"
"Nov 19, 2020","150.87","150.65","150.92","150.51","88.47K","0.23%"
"Nov 18, 2020","150.53","150.94","151.28","150.44","89.88K","-0.27%"
"Nov 17, 2020","150.94","150.76","151.04","150.68","83.20K","0.12%"
"Nov 16, 2020","150.76","150.87","150.93","150.34","111.45K","0.11%"
"Nov 13, 2020","150.59","150.39","150.77","150.34","82.79K","0.14%"
"Nov 12, 2020","150.38","149.84","150.44","149.74","113.52K","0.42%"
"Nov 11, 2020","149.75","149.23","150.09","149.09","137.44K","0.22%"
"Nov 10, 2020","149.42","149.40","149.80","149.18","140.67K","-0.07%"
"Nov 09, 2020","149.52","150.93","151.29","149.41","167.10K","-0.72%"
"Nov 06, 2020","150.61","150.65","151.11","150.49","95.11K","0.05%"
"Nov 05, 2020","150.54","150.36","150.89","150.36","110.71K","0.22%"
"Nov 04, 2020","150.21","149.92","150.40","149.87","100.11K","0.27%"
"Nov 03, 2020","149.80","149.39","150.00","149.29","94.21K","0.20%"
"Nov 02, 2020","149.50","149.36","149.63","148.97","99.44K","-0.06%"
"Oct 30, 2020","149.59","149.70","149.82","149.35","137.63K","-0.11%"
"Oct 29, 2020","149.75","149.03","149.85","148.68","199.55K","0.50%"
"Oct 28, 2020","149.01","149.70","149.72","148.79","163.09K","-0.40%"
"Oct 27, 2020","149.61","149.18","149.79","149.12","108.35K","0.18%"
"Oct 26, 2020","149.34","149.70","150.12","149.17","147.33K","0.32%"
"Oct 23, 2020","148.86","148.54","149.18","148.49","121.15K","0.20%"
