"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","169.77","170.15","170.26","169.76","-","-0.21%"
"Nov 27, 2020","170.13","170.16","170.25","170.00","-","-0.02%"
"Nov 26, 2020","170.16","169.91","170.21","169.81","-","0.15%"
"Nov 25, 2020","169.91","169.84","170.13","169.68","-","0.04%"
"Nov 24, 2020","169.84","170.09","170.12","169.81","-","-0.15%"
"Nov 23, 2020","170.09","170.24","170.31","169.94","-","-0.06%"
"Nov 20, 2020","170.20","170.01","170.25","169.97","-","0.11%"
"Nov 19, 2020","170.01","169.65","170.10","169.65","-","0.21%"
"Nov 18, 2020","169.65","169.92","170.13","169.63","-","-0.16%"
"Nov 17, 2020","169.92","169.60","169.97","169.56","-","0.19%"
"Nov 16, 2020","169.60","169.75","169.91","169.15","-","0.02%"
"Nov 13, 2020","169.56","169.28","169.78","169.28","-","0.17%"
"Nov 12, 2020","169.28","169.00","169.37","168.88","-","0.17%"
"Nov 11, 2020","169.00","168.64","169.10","168.36","-","0.20%"
"Nov 10, 2020","168.66","168.76","168.88","168.44","-","-0.06%"
"Nov 09, 2020","168.76","170.38","170.71","168.76","-","-0.88%"
"Nov 06, 2020","170.25","170.41","170.59","170.07","-","-0.09%"
"Nov 05, 2020","170.41","170.40","170.69","170.22","-","0.01%"
"Nov 04, 2020","170.39","170.13","170.78","170.13","-","0.15%"
"Nov 03, 2020","170.13","170.19","170.25","169.82","-","-0.03%"
"Nov 02, 2020","170.18","170.19","170.25","169.85","-","0.04%"
"Oct 30, 2020","170.12","170.11","170.25","169.79","-","0.01%"
"Oct 29, 2020","170.11","169.81","170.31","169.69","-","0.18%"
"Oct 28, 2020","169.80","169.81","170.09","169.62","-","-0.01%"
"Oct 27, 2020","169.81","169.47","169.88","169.38","-","0.20%"
"Oct 26, 2020","169.47","169.78","169.88","169.22","-","-0.02%"
"Oct 23, 2020","169.50","169.27","169.53","169.07","-","0.14%"
"Oct 22, 2020","169.27","169.57","169.74","169.13","-","-0.18%"
"Oct 21, 2020","169.57","169.74","169.87","169.38","-","-0.10%"
"Oct 20, 2020","169.74","170.00","170.06","169.68","-","-0.15%"
"Oct 19, 2020","170.00","170.05","170.16","169.72","-","-0.08%"
"Oct 16, 2020","170.13","169.89","170.26","169.88","-","0.14%"
"Oct 15, 2020","169.89","169.51","170.19","169.51","-","0.22%"
"Oct 14, 2020","169.51","169.33","169.69","169.33","-","0.11%"
"Oct 13, 2020","169.33","169.18","169.44","169.07","-","0.09%"
"Oct 12, 2020","169.18","169.05","169.22","168.88","-","0.15%"
"Oct 09, 2020","168.93","168.82","169.24","168.82","-","0.07%"
"Oct 08, 2020","168.82","168.39","168.85","168.35","-","0.26%"
"Oct 07, 2020","168.39","168.60","168.90","168.24","-","-0.12%"
"Oct 06, 2020","168.60","168.51","168.84","168.40","-","0.05%"
"Oct 05, 2020","168.51","168.73","169.04","168.43","-","-0.16%"
"Oct 02, 2020","168.78","168.65","169.01","168.65","-","0.08%"
"Oct 01, 2020","168.65","168.47","168.78","168.29","-","0.11%"
"Sep 30, 2020","168.47","168.89","169.04","168.41","-","-0.25%"
"Sep 29, 2020","168.89","168.66","169.01","168.66","-","0.14%"
"Sep 28, 2020","168.66","168.65","168.71","168.37","-","0.01%"
"Sep 25, 2020","168.64","168.37","168.72","168.31","-","0.16%"
"Sep 24, 2020","168.37","168.47","168.85","168.28","-","-0.06%"
"Sep 23, 2020","168.47","168.56","168.85","168.38","-","-0.05%"
"Sep 22, 2020","168.56","168.61","168.81","168.41","-","-0.02%"
"Sep 21, 2020","168.60","168.28","168.90","168.08","-","0.23%"
"Sep 18, 2020","168.22","168.43","168.59","168.12","-","-0.12%"
"Sep 17, 2020","168.43","168.20","168.59","167.88","-","0.14%"
"Sep 16, 2020","168.20","168.08","168.46","168.04","-","0.07%"
"Sep 15, 2020","168.08","167.97","168.19","167.75","-","0.07%"
"Sep 14, 2020","167.97","167.82","168.22","167.81","-","0.10%"
"Sep 11, 2020","167.81","167.17","167.81","167.17","-","0.36%"
"Sep 10, 2020","167.21","167.41","167.67","166.84","-","-0.12%"
"Sep 09, 2020","167.41","167.81","168.00","167.28","-","-0.21%"
"Sep 08, 2020","167.76","167.33","167.97","167.19","-","0.26%"
"Sep 07, 2020","167.32","167.20","167.59","166.94","-","-0.66%"
"Sep 04, 2020","168.43","168.86","168.90","168.37","-","-0.25%"
"Sep 03, 2020","168.86","168.64","168.97","168.44","-","0.13%"
"Sep 02, 2020","168.64","167.78","168.74","167.78","-","0.51%"
"Sep 01, 2020","167.78","167.43","167.78","167.12","-","0.21%"
"Aug 31, 2020","167.43","167.60","167.64","167.18","-","-0.05%"
"Aug 28, 2020","167.52","167.47","167.73","167.16","-","0.03%"
"Aug 27, 2020","167.47","167.76","168.53","167.38","-","-0.17%"
"Aug 26, 2020","167.76","168.01","168.01","167.51","-","-0.15%"
"Aug 25, 2020","168.01","168.69","168.71","167.66","-","-0.40%"
"Aug 24, 2020","168.69","168.90","168.97","168.44","-","-0.07%"
"Aug 21, 2020","168.80","168.83","168.97","168.66","-","-0.02%"
"Aug 20, 2020","168.83","168.60","169.04","168.41","-","0.14%"
"Aug 19, 2020","168.60","168.45","168.84","168.40","-","0.09%"
"Aug 18, 2020","168.45","168.17","168.47","168.00","-","0.17%"
"Aug 17, 2020","168.17","167.68","168.25","167.68","-","0.27%"
"Aug 14, 2020","167.72","167.63","167.82","167.18","-","0.05%"
"Aug 13, 2020","167.63","168.50","168.62","167.53","-","-0.52%"
"Aug 12, 2020","168.50","168.78","168.84","168.12","-","-0.17%"
"Aug 11, 2020","168.78","169.32","169.35","168.56","-","-0.32%"
"Aug 10, 2020","169.32","168.83","169.41","168.71","-","0.27%"
"Aug 07, 2020","168.87","169.08","169.31","168.87","-","-0.12%"
"Aug 06, 2020","169.08","168.67","169.34","168.58","-","0.24%"
"Aug 05, 2020","168.67","169.32","169.35","168.59","-","-0.38%"
"Aug 04, 2020","169.32","168.65","169.34","168.65","-","0.40%"
"Aug 03, 2020","168.65","168.62","168.77","168.41","-","0.05%"
"Jul 31, 2020","168.56","168.95","169.16","168.43","-","-0.23%"
"Jul 30, 2020","168.95","168.38","169.06","168.38","-","0.34%"
"Jul 29, 2020","168.38","168.67","168.81","168.34","-","-0.17%"
"Jul 28, 2020","168.67","168.47","168.74","168.28","-","0.12%"
"Jul 27, 2020","168.47","167.96","168.56","167.78","-","0.34%"
"Jul 24, 2020","167.90","168.40","168.63","167.71","-","-0.30%"
"Jul 23, 2020","168.40","168.53","168.57","168.37","-","-0.08%"
"Jul 22, 2020","168.53","168.15","168.64","168.03","-","0.22%"
"Jul 21, 2020","168.16","168.22","168.34","167.93","-","-0.04%"
"Jul 20, 2020","168.22","167.79","168.37","167.60","-","0.23%"
"Jul 17, 2020","167.84","168.06","168.24","167.78","-","-0.13%"
"Jul 16, 2020","168.06","167.81","168.23","167.60","-","0.14%"
"Jul 15, 2020","167.83","167.69","167.96","167.50","-","0.08%"
"Jul 14, 2020","167.69","167.35","167.75","167.31","-","0.20%"
"Jul 13, 2020","167.35","167.62","167.79","167.12","-","-0.24%"
"Jul 10, 2020","167.75","167.83","168.06","167.75","-","-0.05%"
"Jul 09, 2020","167.84","167.57","167.97","167.51","-","0.16%"
"Jul 08, 2020","167.57","167.62","167.88","167.54","-","-0.03%"
"Jul 07, 2020","167.62","167.51","167.79","167.18","-","0.07%"
"Jul 06, 2020","167.51","167.14","167.62","167.14","-","0.04%"
"Jul 03, 2020","167.44","167.40","167.69","167.28","-","0.02%"
"Jul 02, 2020","167.40","166.64","167.47","166.56","-","0.47%"
"Jul 01, 2020","166.62","167.37","167.37","166.53","-","-0.45%"
