"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","112.325","112.355","112.362","112.323","-","-0.02%"
"Nov 27, 2020","112.350","112.350","112.365","112.340","184.72K","-0.00%"
"Nov 26, 2020","112.355","112.345","112.360","112.335","114.81K","0.01%"
"Nov 25, 2020","112.345","112.335","112.355","112.325","224.57K","0.00%"
"Nov 24, 2020","112.340","112.340","112.355","112.330","245.08K","-0.00%"
"Nov 23, 2020","112.345","112.365","112.370","112.340","324.98K","-0.01%"
"Nov 20, 2020","112.355","112.330","112.370","112.320","392.86K","0.03%"
"Nov 19, 2020","112.320","112.320","112.335","112.305","271.32K","0.01%"
"Nov 18, 2020","112.310","112.310","112.325","112.305","238.35K","0.00%"
"Nov 17, 2020","112.310","112.310","112.320","112.300","394.70K","0.00%"
"Nov 16, 2020","112.305","112.325","112.340","112.285","324.09K","-0.01%"
"Nov 13, 2020","112.315","112.320","112.335","112.305","212.84K","0.01%"
"Nov 12, 2020","112.305","112.310","112.330","112.285","261.60K","0.01%"
"Nov 11, 2020","112.290","112.295","112.310","112.275","403.30K","0.00%"
"Nov 10, 2020","112.290","112.320","112.330","112.280","626.40K","-0.02%"
"Nov 09, 2020","112.315","112.425","112.450","112.310","752.76K","-0.10%"
"Nov 06, 2020","112.425","112.455","112.455","112.410","313.11K","-0.02%"
"Nov 05, 2020","112.445","112.475","112.475","112.425","356.57K","-0.01%"
"Nov 04, 2020","112.460","112.445","112.505","112.440","418.68K","0.00%"
"Nov 03, 2020","112.460","112.470","112.480","112.450","211.73K","-0.01%"
"Nov 02, 2020","112.470","112.470","112.485","112.450","373.67K","0.00%"
"Oct 30, 2020","112.465","112.465","112.490","112.455","299.54K","-0.02%"
"Oct 29, 2020","112.485","112.460","112.495","112.445","422.02K","0.03%"
"Oct 28, 2020","112.450","112.430","112.460","112.425","491.53K","0.03%"
"Oct 27, 2020","112.415","112.385","112.425","112.375","207.88K","0.03%"
"Oct 26, 2020","112.380","112.400","112.405","112.365","278.24K","0.00%"
"Oct 23, 2020","112.380","112.390","112.415","112.375","299.53K","-0.02%"
"Oct 22, 2020","112.400","112.420","112.440","112.395","443.96K","-0.03%"
"Oct 21, 2020","112.430","112.425","112.440","112.410","403.82K","-0.01%"
"Oct 20, 2020","112.445","112.455","112.460","112.420","561.32K","-0.00%"
"Oct 19, 2020","112.450","112.435","112.460","112.420","300.72K","0.02%"
"Oct 16, 2020","112.430","112.410","112.450","112.410","499.81K","0.00%"
"Oct 15, 2020","112.425","112.370","112.435","112.365","733.66K","0.05%"
"Oct 14, 2020","112.365","112.350","112.375","112.340","333.65K","0.02%"
"Oct 13, 2020","112.340","112.325","112.355","112.325","303.23K","0.01%"
"Oct 12, 2020","112.325","112.315","112.330","112.315","179.72K","0.01%"
"Oct 09, 2020","112.315","112.300","112.325","112.295","407.11K","0.02%"
"Oct 08, 2020","112.290","112.260","112.300","112.260","256.72K","0.02%"
"Oct 07, 2020","112.265","112.280","112.290","112.255","311.12K","-0.01%"
"Oct 06, 2020","112.275","112.270","112.290","112.265","237.81K","-0.01%"
"Oct 05, 2020","112.290","112.305","112.325","112.270","242.35K","-0.01%"
"Oct 02, 2020","112.305","112.295","112.325","112.295","273.39K","0.00%"
"Oct 01, 2020","112.300","112.280","112.300","112.265","241.39K","0.01%"
"Sep 30, 2020","112.290","112.305","112.315","112.280","317.66K","-0.01%"
"Sep 29, 2020","112.305","112.305","112.320","112.290","310.55K","0.00%"
"Sep 28, 2020","112.300","112.305","112.310","112.280","259.68K","-0.00%"
