"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","226.46","227.39","228.09","226.28","-","-0.31%"
"Nov 27, 2020","227.16","227.22","227.72","226.64","50.25K","0.07%"
"Nov 26, 2020","227.00","225.82","227.28","225.64","37.11K","0.34%"
"Nov 25, 2020","226.22","225.22","226.76","224.68","70.73K","0.12%"
"Nov 24, 2020","225.94","226.04","226.52","225.34","55.62K","-0.12%"
"Nov 23, 2020","226.22","227.56","227.78","225.82","67.75K","-0.39%"
"Nov 20, 2020","227.10","227.24","227.64","226.46","68.66K","0.11%"
"Nov 19, 2020","226.86","225.96","227.16","225.80","55.35K","0.44%"
"Nov 18, 2020","225.86","226.30","227.10","225.12","52.15K","-0.05%"
"Nov 17, 2020","225.98","224.92","226.36","224.60","50.58K","0.52%"
"Nov 16, 2020","224.82","224.32","225.78","222.80","67.31K","0.16%"
"Nov 13, 2020","224.46","224.34","225.44","223.68","54.72K","0.38%"
"Nov 12, 2020","223.60","222.42","224.42","221.84","74.55K","0.80%"
"Nov 11, 2020","221.82","220.72","222.50","219.48","74.10K","0.47%"
"Nov 10, 2020","220.78","222.16","222.36","220.48","115.54K","-0.41%"
"Nov 09, 2020","221.70","227.42","229.00","221.16","112.52K","-2.63%"
"Nov 06, 2020","227.68","229.38","229.78","227.26","65.25K","-0.65%"
"Nov 05, 2020","229.16","229.78","230.36","228.18","74.64K","-0.21%"
"Nov 04, 2020","229.64","227.54","231.42","227.32","78.47K","0.57%"
"Nov 03, 2020","228.34","229.24","229.42","227.58","68.02K","-0.26%"
"Nov 02, 2020","228.94","228.78","229.26","227.84","62.66K","0.08%"
"Oct 30, 2020","228.76","228.64","229.44","228.02","78.52K","-0.16%"
"Oct 29, 2020","229.12","228.30","229.76","228.06","84.19K","0.30%"
"Oct 28, 2020","228.44","227.94","229.94","227.86","107.55K","0.38%"
"Oct 27, 2020","227.58","225.94","227.74","225.32","55.54K","1.00%"
"Oct 26, 2020","225.32","225.72","226.72","224.82","58.62K","0.07%"
"Oct 23, 2020","225.16","224.76","225.84","224.22","52.53K","0.15%"
"Oct 22, 2020","224.82","226.20","226.74","224.70","78.44K","-0.86%"
"Oct 21, 2020","226.76","226.74","227.50","225.54","65.97K","-0.19%"
"Oct 20, 2020","227.20","227.84","228.54","226.64","60.13K","-0.33%"
"Oct 19, 2020","227.96","227.76","228.34","226.70","48.60K","-0.04%"
"Oct 16, 2020","228.06","227.24","228.96","227.18","53.52K","0.03%"
"Oct 15, 2020","228.00","225.66","229.38","225.62","82.46K","1.11%"
"Oct 14, 2020","225.50","224.42","226.28","224.28","61.56K","0.47%"
"Oct 13, 2020","224.44","223.80","224.72","223.22","52.01K","0.44%"
"Oct 12, 2020","223.46","223.28","223.86","222.64","37.52K","0.17%"
"Oct 09, 2020","223.08","222.62","224.12","222.20","58.70K","0.24%"
"Oct 08, 2020","222.54","220.82","222.78","220.76","45.38K","0.61%"
"Oct 07, 2020","221.20","222.54","222.86","220.42","68.70K","-0.23%"
"Oct 06, 2020","221.70","221.54","222.88","221.34","64.07K","-0.38%"
"Oct 05, 2020","222.54","222.70","223.40","221.48","55.17K","-0.11%"
"Oct 02, 2020","222.78","223.20","224.10","222.60","52.79K","-0.14%"
"Oct 01, 2020","223.10","222.60","223.34","221.30","64.43K","0.19%"
"Sep 30, 2020","222.68","223.50","224.32","221.98","72.27K","-0.51%"
"Sep 29, 2020","223.82","222.62","223.90","222.50","47.76K","0.53%"
"Sep 28, 2020","222.64","222.34","222.90","221.44","44.40K","-0.12%"
"Sep 25, 2020","222.90","221.00","222.96","220.72","41.88K","0.56%"
"Sep 24, 2020","221.66","221.18","222.50","220.82","51.68K","0.50%"
"Sep 23, 2020","220.56","220.86","222.00","220.48","51.48K","-0.22%"
"Sep 22, 2020","221.04","222.46","222.70","220.44","77.57K","-0.64%"
"Sep 21, 2020","222.46","220.20","223.18","219.78","67.90K","1.03%"
"Sep 18, 2020","220.20","220.90","221.50","219.64","38.55K","-0.39%"
"Sep 17, 2020","221.06","219.74","221.84","219.12","58.18K","0.55%"
"Sep 16, 2020","219.84","220.18","220.86","219.36","51.70K","-0.01%"
"Sep 15, 2020","219.86","219.86","220.26","218.98","41.55K","0.05%"
"Sep 14, 2020","219.76","220.00","220.96","219.44","38.71K","0.03%"
"Sep 11, 2020","219.70","218.80","220.00","218.48","41.69K","1.16%"
"Sep 10, 2020","217.18","218.36","219.54","216.82","49.44K","-0.55%"
"Sep 09, 2020","218.38","220.64","220.90","218.00","49.91K","-1.26%"
"Sep 08, 2020","221.16","219.86","221.14","219.80","3.05K","0.66%"
"Sep 07, 2020","219.72","219.80","221.12","219.10","20.63K","-0.64%"
"Sep 04, 2020","221.14","222.34","222.40","219.60","67.50K","-0.54%"
"Sep 03, 2020","222.34","220.74","222.94","219.64","177.29K","0.83%"
"Sep 02, 2020","220.50","218.70","220.96","217.96","123.04K","1.52%"
"Sep 01, 2020","217.20","216.32","218.62","215.12","89.36K","0.13%"
"Aug 31, 2020","216.92","216.06","217.00","215.10","86.41K","0.14%"
"Aug 28, 2020","216.62","215.46","217.00","214.12","65.84K","0.14%"
"Aug 27, 2020","216.32","218.44","220.20","215.62","85.25K","-0.69%"
"Aug 26, 2020","217.82","218.80","219.04","217.14","67.77K","-0.36%"
"Aug 25, 2020","218.60","221.92","222.06","218.20","93.86K","-1.75%"
"Aug 24, 2020","222.50","223.22","223.46","221.56","41.39K","-0.15%"
"Aug 21, 2020","222.84","222.70","223.86","222.08","39.14K","0.04%"
"Aug 20, 2020","222.74","220.82","223.64","220.82","46.11K","0.63%"
"Aug 19, 2020","221.34","220.96","222.04","220.48","56.81K","0.24%"
"Aug 18, 2020","220.80","219.92","221.26","219.28","38.38K","0.34%"
"Aug 17, 2020","220.06","217.88","220.24","217.72","30.14K","0.60%"
"Aug 14, 2020","218.74","216.76","219.38","216.48","40.63K","0.27%"
"Aug 13, 2020","218.16","220.98","221.82","216.92","44.60K","-0.87%"
"Aug 12, 2020","220.08","222.20","222.22","219.12","54.69K","-0.59%"
"Aug 11, 2020","221.38","224.20","224.42","220.84","42.09K","-1.42%"
"Aug 10, 2020","224.58","223.32","225.16","222.68","30.33K","0.37%"
"Aug 07, 2020","223.76","224.66","225.62","223.30","30.39K","-0.65%"
"Aug 06, 2020","225.22","224.02","225.94","223.14","43.11K","0.63%"
"Aug 05, 2020","223.80","226.26","226.76","223.36","40.97K","-1.08%"
"Aug 04, 2020","226.24","224.06","226.86","223.64","38.20K","0.94%"
"Aug 03, 2020","224.14","224.34","224.90","222.90","33.74K","-0.31%"
"Jul 31, 2020","224.84","226.04","226.78","224.04","49.70K","-0.43%"
"Jul 30, 2020","225.80","223.16","226.18","223.00","43.31K","1.18%"
"Jul 29, 2020","223.16","224.06","224.62","222.68","34.29K","-0.37%"
"Jul 28, 2020","224.00","222.12","224.42","221.82","38.20K","0.51%"
"Jul 27, 2020","222.86","220.36","223.12","220.00","40.81K","1.04%"
"Jul 24, 2020","220.56","222.44","223.82","220.00","48.91K","-0.81%"
"Jul 23, 2020","222.36","222.38","222.72","221.74","33.65K","-0.06%"
"Jul 22, 2020","222.50","220.28","222.58","219.98","53.15K","0.89%"
"Jul 21, 2020","220.54","220.40","220.86","219.68","31.51K","-0.01%"
"Jul 20, 2020","220.56","219.76","221.04","218.18","36.84K","0.36%"
"Jul 17, 2020","219.76","220.24","221.16","219.34","28.34K","-0.62%"
"Jul 16, 2020","221.12","220.38","221.46","219.70","33.69K","0.46%"
"Jul 15, 2020","220.10","220.12","221.42","219.46","41.30K","-0.28%"
"Jul 14, 2020","220.72","219.56","221.02","219.14","36.13K","1.14%"
"Jul 13, 2020","218.24","221.30","221.30","217.96","45.01K","-1.65%"
"Jul 10, 2020","221.90","221.22","223.56","220.62","45.70K","0.38%"
"Jul 09, 2020","221.06","219.40","221.76","219.08","39.94K","0.66%"
"Jul 08, 2020","219.62","218.76","220.34","218.72","42.87K","0.61%"
"Jul 07, 2020","218.28","217.78","219.26","217.38","38.60K","0.28%"
"Jul 06, 2020","217.66","217.32","218.26","216.30","26.38K","-0.13%"
