"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","152.00","152.07","152.08","151.97","-","-0.04%"
"Nov 29, 2020","152.06","152.05","152.06","152.05","-","0.01%"
"Nov 27, 2020","152.05","152.11","152.19","152.03","23.49K","-0.03%"
"Nov 26, 2020","152.10","152.14","152.20","152.09","18.48K","-0.03%"
"Nov 25, 2020","152.14","152.12","152.15","152.07","22.76K","0.01%"
"Nov 24, 2020","152.12","152.21","152.26","152.09","23.85K","-0.03%"
"Nov 23, 2020","152.17","152.27","152.28","152.16","-","-0.05%"
"Nov 22, 2020","152.24","152.25","152.25","152.24","-","0.01%"
"Nov 20, 2020","152.22","152.19","152.27","152.14","22.85K","0.03%"
"Nov 19, 2020","152.18","152.18","152.20","152.10","16.57K","0.01%"
"Nov 18, 2020","152.17","152.06","152.18","152.06","22.90K","0.07%"
"Nov 17, 2020","152.07","152.07","152.13","151.99","18.39K","-0.01%"
"Nov 16, 2020","152.09","152.08","152.14","152.04","18.48K","-0.01%"
"Nov 13, 2020","152.10","151.98","152.15","151.98","25.07K","0.07%"
"Nov 12, 2020","152.00","151.82","152.03","151.78","27.77K","0.11%"
"Nov 11, 2020","151.84","151.93","151.93","151.72","32.57K","-0.05%"
"Nov 10, 2020","151.92","152.16","152.20","151.75","46.33K","-0.17%"
"Nov 09, 2020","152.18","152.18","152.21","152.00","27.39K","0.01%"
"Nov 06, 2020","152.17","152.14","152.19","152.06","26.60K","0.02%"
"Nov 05, 2020","152.14","151.98","152.18","151.93","34.11K","0.11%"
"Nov 04, 2020","151.98","151.82","151.98","151.63","43.10K","0.20%"
"Nov 03, 2020","151.68","151.78","151.81","151.66","-","-0.10%"
"Nov 02, 2020","151.83","151.91","151.92","151.76","23.00K","-0.03%"
"Oct 30, 2020","151.88","151.99","152.07","151.86","28.97K","-0.09%"
"Oct 29, 2020","152.02","152.09","152.18","152.00","26.71K","-0.05%"
"Oct 28, 2020","152.10","152.01","152.17","151.98","28.05K","0.07%"
"Oct 27, 2020","152.00","151.93","152.05","151.91","23.27K","0.05%"
"Oct 26, 2020","151.93","151.82","151.97","151.78","22.81K","0.07%"
"Oct 23, 2020","151.82","151.97","152.00","151.78","30.36K","-0.11%"
"Oct 22, 2020","151.98","151.95","152.06","151.91","24.61K","0.01%"
"Oct 21, 2020","151.97","152.15","152.19","151.88","38.64K","-0.11%"
"Oct 20, 2020","152.13","152.12","152.16","152.05","20.32K","0.02%"
"Oct 19, 2020","152.10","152.16","152.23","152.06","17.51K","-0.03%"
"Oct 16, 2020","152.15","152.10","152.26","152.04","33.90K","0.05%"
"Oct 15, 2020","152.08","151.96","152.10","151.96","21.71K","0.07%"
"Oct 14, 2020","151.97","151.95","152.06","151.94","18.91K","0.02%"
"Oct 13, 2020","151.94","151.97","152.02","151.91","24.27K","-0.01%"
"Oct 12, 2020","151.96","151.89","151.99","151.86","14.83K","0.04%"
"Oct 09, 2020","151.90","151.86","151.96","151.86","19.13K","0.01%"
"Oct 08, 2020","151.88","151.87","151.92","151.75","32.17K","0.02%"
"Oct 07, 2020","151.85","151.90","151.98","151.84","27.47K","-0.03%"
"Oct 06, 2020","151.90","152.08","152.12","151.84","28.24K","-0.12%"
"Oct 05, 2020","152.08","152.14","152.18","152.03","19.73K","-0.05%"
"Oct 02, 2020","152.16","152.04","152.18","151.97","35.85K","0.07%"
"Oct 01, 2020","152.05","152.13","152.14","152.01","33.04K","-0.04%"
"Sep 30, 2020","152.11","152.11","152.20","152.07","22.72K","0.00%"
"Sep 29, 2020","152.11","152.06","152.13","152.03","18.10K","0.03%"
"Sep 28, 2020","152.06","152.17","152.21","152.04","18.63K","-0.07%"
"Sep 25, 2020","152.16","152.16","152.21","152.09","20.21K","0.01%"
"Sep 24, 2020","152.15","152.23","152.29","152.15","23.61K","-0.04%"
"Sep 23, 2020","152.21","152.07","152.24","152.06","23.44K","0.03%"
"Sep 22, 2020","152.16","152.15","152.19","152.12","-","0.01%"
"Sep 21, 2020","152.14","152.16","152.19","152.12","-","-0.01%"
"Sep 20, 2020","152.16","152.19","152.19","152.13","-","0.05%"
"Sep 18, 2020","152.08","152.07","152.14","152.03","17.39K","0.02%"
"Sep 17, 2020","152.05","151.99","152.07","151.96","15.90K","0.04%"
