"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","99.96","99.96","99.96","99.96","0.76K","0.00%"
"Nov 27, 2020","99.96","99.96","99.96","99.95","66.36K","0.00%"
"Nov 26, 2020","99.96","99.95","99.96","99.95","56.22K","0.01%"
"Nov 25, 2020","99.95","99.95","99.96","99.94","32.88K","-0.01%"
"Nov 24, 2020","99.96","99.95","99.96","99.95","21.25K","0.01%"
"Nov 23, 2020","99.95","99.96","99.96","99.94","81.77K","0.00%"
"Nov 20, 2020","99.95","99.96","99.96","99.95","10.39K","0.00%"
"Nov 19, 2020","99.95","99.96","99.96","99.95","14.35K","0.00%"
"Nov 18, 2020","99.95","99.95","99.96","99.95","0.13K","0.00%"
"Nov 17, 2020","99.95","99.96","99.96","99.95","0.45K","-0.01%"
"Nov 16, 2020","99.96","99.96","99.96","99.95","0.34K","0.00%"
"Nov 13, 2020","99.96","99.96","99.96","99.96","0.50K","0.00%"
"Nov 12, 2020","99.96","99.95","99.96","99.95","0.69K","0.01%"
"Nov 11, 2020","99.95","99.96","99.96","99.95","1.47K","-0.01%"
"Nov 10, 2020","99.96","99.96","99.96","99.96","0.48K","0.00%"
"Nov 09, 2020","99.96","99.96","99.96","99.96","0.94K","0.00%"
"Nov 06, 2020","99.96","99.96","99.96","99.96","2.51K","0.00%"
"Nov 05, 2020","99.96","99.96","99.96","99.96","1.63K","-0.01%"
"Nov 04, 2020","99.96","99.96","99.96","99.96","1.05K","0.01%"
"Nov 03, 2020","99.96","99.96","99.96","99.96","1.43K","0.00%"
"Nov 02, 2020","99.96","99.96","99.96","99.96","1.19K","0.00%"
"Oct 30, 2020","99.96","99.96","99.96","99.96","1.32K","0.00%"
"Oct 29, 2020","99.96","99.96","99.96","99.95","1.21K","0.01%"
"Oct 28, 2020","99.95","99.96","99.96","99.95","0.94K","0.00%"
"Oct 27, 2020","99.95","99.96","99.96","99.94","0.71K","0.00%"
"Oct 26, 2020","99.95","99.95","99.96","99.94","0.41K","0.00%"
"Oct 23, 2020","99.95","99.95","99.96","99.94","1.90K","0.00%"
"Oct 22, 2020","99.95","99.94","99.95","99.94","0.82K","0.00%"
"Oct 21, 2020","99.95","99.95","99.95","99.94","1.81K","0.00%"
"Oct 20, 2020","99.95","99.95","99.96","99.94","4.95K","0.00%"
"Oct 19, 2020","99.95","99.94","99.96","99.94","2.97K","-0.01%"
"Oct 16, 2020","99.96","99.95","99.96","99.94","18.41K","0.01%"
"Oct 15, 2020","99.95","99.95","99.95","99.94","6.94K","0.00%"
