"Date","Price","Open","High","Low","Vol.","Change %"
"Dec 01, 2020","113.92","114.01","114.02","113.91","90.01K","-0.05%"
"Nov 30, 2020","113.98","114.01","114.05","113.96","68.61K","-0.04%"
"Nov 27, 2020","114.02","114.02","114.04","114.00","44.63K","0.00%"
"Nov 26, 2020","114.02","114.00","114.03","113.99","47.15K","0.01%"
"Nov 25, 2020","114.01","114.02","114.04","113.99","63.28K","-0.03%"
"Nov 24, 2020","114.04","113.98","114.04","113.98","29.74K","0.03%"
"Nov 23, 2020","114.01","113.99","114.03","113.98","48.76K","0.02%"
"Nov 20, 2020","113.99","113.98","114.00","113.95","42.87K","0.02%"
"Nov 19, 2020","113.97","113.93","113.98","113.91","64.12K","0.02%"
"Nov 18, 2020","113.95","113.97","114.01","113.90","63.51K","0.00%"
"Nov 17, 2020","113.95","113.93","113.99","113.92","59.93K","-0.01%"
"Nov 16, 2020","113.96","113.91","113.96","113.86","85.13K","0.05%"
"Nov 13, 2020","113.90","113.88","113.93","113.87","76.20K","0.03%"
"Nov 12, 2020","113.87","113.80","113.89","113.80","79.00K","0.05%"
"Nov 11, 2020","113.81","113.75","113.89","113.74","108.99K","0.04%"
"Nov 10, 2020","113.77","113.71","113.82","113.71","106.73K","0.04%"
"Nov 09, 2020","113.73","113.88","113.95","113.69","102.44K","-0.11%"
"Nov 06, 2020","113.86","113.84","113.94","113.84","67.91K","0.02%"
"Nov 05, 2020","113.84","113.83","113.89","113.82","69.55K","0.04%"
"Nov 04, 2020","113.79","113.73","113.84","113.73","51.72K","0.04%"
"Nov 03, 2020","113.74","113.69","113.77","113.67","59.35K","0.03%"
"Nov 02, 2020","113.71","113.64","113.73","113.62","72.05K","0.01%"
"Oct 30, 2020","113.70","113.73","113.73","113.64","58.19K","0.00%"
"Oct 29, 2020","113.70","113.60","113.74","113.54","118.19K","0.09%"
"Oct 28, 2020","113.60","113.78","113.78","113.55","151.79K","-0.12%"
"Oct 27, 2020","113.74","113.67","113.75","113.66","86.32K","0.04%"
"Oct 26, 2020","113.69","113.83","113.83","113.66","99.54K","0.08%"
"Oct 23, 2020","113.60","113.55","113.64","113.54","70.62K","0.05%"
"Oct 22, 2020","113.54","113.53","113.62","113.53","99.69K","-0.02%"
"Oct 21, 2020","113.56","113.60","113.64","113.53","85.64K","-0.02%"
"Oct 20, 2020","113.58","113.60","113.63","113.48","94.55K","0.00%"
"Oct 19, 2020","113.58","113.68","113.71","113.56","101.82K","-0.10%"
"Oct 16, 2020","113.69","113.54","113.74","113.54","96.74K","0.16%"
"Oct 15, 2020","113.51","113.66","113.66","113.40","159.45K","-0.14%"
"Oct 14, 2020","113.67","113.66","113.69","113.64","66.01K","0.01%"
"Oct 13, 2020","113.66","113.69","113.69","113.60","67.60K","-0.01%"
"Oct 12, 2020","113.67","113.60","113.69","113.60","57.42K","0.04%"
"Oct 09, 2020","113.62","113.57","113.64","113.55","58.18K","0.06%"
"Oct 08, 2020","113.55","113.52","113.57","113.51","70.33K","0.01%"
"Oct 07, 2020","113.54","113.49","113.55","113.49","60.88K","0.05%"
"Oct 06, 2020","113.48","113.44","113.50","113.43","43.98K","0.01%"
"Oct 05, 2020","113.47","113.46","113.52","113.45","69.30K","0.04%"
"Oct 02, 2020","113.42","113.37","113.51","113.35","63.08K","0.06%"
"Oct 01, 2020","113.35","113.24","113.38","113.24","47.79K","0.07%"
"Sep 30, 2020","113.27","113.31","113.35","113.24","55.27K","-0.07%"
"Sep 29, 2020","113.35","113.26","113.36","113.26","67.62K","0.08%"
"Sep 28, 2020","113.26","113.26","113.28","113.24","41.97K","0.02%"
"Sep 25, 2020","113.24","113.25","113.29","113.22","40.07K","-0.04%"
"Sep 24, 2020","113.29","113.34","113.34","113.25","64.46K","-0.03%"
"Sep 23, 2020","113.32","113.28","113.36","113.28","59.46K","0.00%"
"Sep 22, 2020","113.32","113.22","113.33","113.20","68.94K","0.12%"
"Sep 21, 2020","113.18","113.12","113.25","113.05","80.83K","0.05%"
"Sep 18, 2020","113.12","113.16","113.19","113.11","40.93K","-0.04%"
"Sep 17, 2020","113.17","113.06","113.20","113.05","65.31K","0.06%"
"Sep 16, 2020","113.10","113.06","113.14","113.06","66.57K","0.04%"
"Sep 15, 2020","113.06","113.03","113.08","112.98","31.76K","0.04%"
"Sep 14, 2020","113.02","113.00","113.08","112.96","38.67K","0.04%"
"Sep 11, 2020","112.98","112.98","113.00","112.91","59.28K","0.05%"
"Sep 10, 2020","112.92","112.93","112.98","112.88","73.70K","0.03%"
"Sep 09, 2020","112.89","112.86","112.94","112.84","65.26K","0.05%"
"Sep 08, 2020","112.83","112.77","112.85","112.76","48.13K","0.04%"
"Sep 07, 2020","112.78","112.88","112.88","112.77","83.97K","-0.05%"
