"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 27, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 26, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 25, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 24, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 23, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 20, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 19, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 18, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 17, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 16, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 13, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 12, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 11, 2020","100.71","100.71","100.71","100.71","-","0.00%"
"Nov 10, 2020","100.71","100.71","100.71","100.71","-","0.00%"
"Nov 09, 2020","100.71","100.71","100.71","100.71","-","0.00%"
"Nov 06, 2020","100.71","100.71","100.71","100.71","-","-0.00%"
"Nov 05, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 04, 2020","100.72","100.72","100.72","100.72","1.00K","0.00%"
"Nov 03, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Nov 02, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 30, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 29, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 28, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 27, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 26, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 23, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 22, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 21, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 20, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 19, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 16, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 15, 2020","100.72","100.72","100.72","100.72","0.50K","0.00%"
"Oct 14, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 13, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 12, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 09, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 08, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 07, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 06, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 05, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 02, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Oct 01, 2020","100.72","100.72","100.72","100.72","-","0.00%"
"Sep 30, 2020","100.72","100.72","100.72","100.72","-","-0.00%"
"Sep 29, 2020","100.73","100.73","100.73","100.73","-","0.00%"
"Sep 28, 2020","100.73","100.73","100.73","100.73","-","0.00%"
"Sep 25, 2020","100.73","100.73","100.73","100.73","-","0.00%"
"Sep 24, 2020","100.73","100.73","100.73","100.73","-","0.00%"
"Sep 23, 2020","100.73","100.73","100.73","100.73","-","0.00%"
"Sep 22, 2020","100.74","100.73","100.73","100.73","0.50K","0.00%"
"Sep 21, 2020","100.74","100.74","100.74","100.74","-","0.00%"
"Sep 18, 2020","100.74","100.74","100.74","100.74","-","0.00%"
"Sep 17, 2020","100.74","100.74","100.74","100.74","-","0.00%"
"Sep 16, 2020","100.73","100.73","100.73","100.73","-","0.04%"
"Sep 15, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 14, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 11, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 10, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 09, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 08, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 07, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 04, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 03, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 02, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Sep 01, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 31, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 28, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 27, 2020","100.69","100.69","100.69","100.69","0.18K","0.00%"
"Aug 26, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 25, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 24, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 21, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 20, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 19, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 18, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 17, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 14, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 13, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 12, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 11, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 10, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 07, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 06, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 05, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 04, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Aug 03, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 31, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 30, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 29, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 28, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 27, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 24, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 23, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 22, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 21, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 20, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 17, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 16, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 15, 2020","100.70","100.70","100.70","100.70","-","0.00%"
"Jul 14, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 13, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 10, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 09, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 08, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 07, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 06, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 03, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jul 02, 2020","100.70","100.70","100.70","100.70","-","0.00%"
"Jul 01, 2020","100.70","100.70","100.70","100.70","-","0.00%"
"Jun 30, 2020","100.70","100.70","100.70","100.70","-","0.00%"
"Jun 29, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jun 26, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jun 25, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jun 24, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jun 23, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jun 22, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jun 19, 2020","100.69","100.69","100.69","100.69","-","0.00%"
"Jun 18, 2020","100.70","100.70","100.70","100.70","-","0.00%"
"Jun 17, 2020","100.70","100.70","100.70","100.70","-","0.04%"
"Jun 16, 2020","100.66","100.66","100.66","100.66","0.58K","0.00%"
"Jun 15, 2020","100.66","100.66","100.66","100.66","-","0.00%"
"Jun 12, 2020","100.66","100.66","100.66","100.66","-","0.00%"
"Jun 11, 2020","100.66","100.66","100.66","100.66","-","0.00%"
"Jun 10, 2020","100.66","100.66","100.66","100.66","0.92K","0.00%"
"Jun 09, 2020","100.67","100.67","100.67","100.67","-","0.00%"
"Jun 08, 2020","100.67","100.66","100.66","100.66","0.00K","0.00%"
"Jun 05, 2020","100.67","100.67","100.67","100.67","-","0.00%"
