"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","134.25","134.46","134.70","134.17","-","-0.75%"
"Nov 27, 2020","135.26","135.37","135.43","135.08","18.44K","-0.13%"
"Nov 26, 2020","135.44","135.04","135.47","134.98","124.26K","0.27%"
"Nov 25, 2020","135.08","134.85","135.19","134.72","379.96K","0.11%"
"Nov 24, 2020","134.93","134.87","135.21","134.77","519.99K","-0.01%"
"Nov 23, 2020","134.95","135.20","135.27","134.80","498.57K","-0.18%"
"Nov 20, 2020","135.20","135.02","135.27","134.90","226.15K","0.19%"
"Nov 19, 2020","134.94","134.93","135.11","134.74","166.66K","0.08%"
"Nov 18, 2020","134.83","135.05","135.14","134.67","206.99K","-0.04%"
"Nov 17, 2020","134.89","134.62","135.03","134.55","231.27K","0.19%"
"Nov 16, 2020","134.64","134.81","134.94","134.21","211.09K","-0.08%"
"Nov 13, 2020","134.75","134.80","134.96","134.58","186.15K","0.16%"
"Nov 12, 2020","134.54","134.19","134.81","133.97","278.11K","0.49%"
"Nov 11, 2020","133.89","133.90","134.12","133.60","217.89K","-0.12%"
"Nov 10, 2020","134.05","134.42","134.48","133.93","318.48K","-0.16%"
"Nov 09, 2020","134.27","135.60","135.97","134.04","364.32K","-0.90%"
"Nov 06, 2020","135.49","135.97","136.24","135.38","217.91K","-0.35%"
"Nov 05, 2020","135.96","136.50","136.69","135.89","216.24K","-0.23%"
"Nov 04, 2020","136.27","136.01","136.33","135.78","242.74K","0.58%"
"Nov 03, 2020","135.49","136.09","136.09","135.41","274.81K","-0.43%"
"Nov 02, 2020","136.07","135.68","136.19","135.61","193.31K","0.29%"
"Oct 30, 2020","135.68","135.96","136.08","135.50","298.75K","-0.36%"
"Oct 29, 2020","136.17","136.18","136.37","135.97","270.39K","-0.01%"
"Oct 28, 2020","136.19","136.14","136.33","136.07","285.98K","0.18%"
"Oct 27, 2020","135.94","135.42","136.06","135.34","262.10K","0.38%"
"Oct 26, 2020","135.43","135.64","135.80","135.36","173.21K","0.04%"
"Oct 23, 2020","135.37","135.42","135.54","135.04","204.29K","0.00%"
"Oct 22, 2020","135.37","135.85","135.87","135.32","259.67K","-0.43%"
"Oct 21, 2020","135.95","136.25","136.27","135.79","252.20K","-0.37%"
"Oct 20, 2020","136.46","136.71","136.75","136.38","215.58K","-0.15%"
"Oct 19, 2020","136.67","136.43","136.75","136.28","164.40K","0.04%"
"Oct 16, 2020","136.61","136.47","136.97","136.47","189.98K","-0.01%"
"Oct 15, 2020","136.63","136.31","136.89","136.27","266.71K","0.41%"
"Oct 14, 2020","136.07","136.00","136.26","136.00","244.00K","0.12%"
"Oct 13, 2020","135.91","135.54","135.99","135.50","264.37K","0.32%"
"Oct 12, 2020","135.48","135.51","135.58","135.37","82.28K","-0.01%"
"Oct 09, 2020","135.50","135.46","135.71","135.29","155.52K","0.16%"
"Oct 08, 2020","135.28","135.13","135.36","135.10","154.04K","0.12%"
"Oct 07, 2020","135.12","135.57","135.60","135.06","283.07K","-0.15%"
"Oct 06, 2020","135.32","135.35","135.48","135.16","285.99K","-0.04%"
"Oct 05, 2020","135.37","135.83","135.93","135.23","182.84K","-0.27%"
"Oct 02, 2020","135.73","136.10","136.19","135.69","213.11K","-0.18%"
"Oct 01, 2020","135.97","135.91","136.08","135.32","365.01K","-0.10%"
"Sep 30, 2020","136.11","136.56","136.60","135.91","280.83K","-0.33%"
"Sep 29, 2020","136.56","136.36","136.59","136.28","253.77K","-0.42%"
"Sep 28, 2020","137.13","137.14","137.14","137.12","0.47K","-0.25%"
"Sep 25, 2020","137.47","137.20","137.38","137.20","0.24K","0.23%"
"Sep 24, 2020","137.16","137.02","137.02","137.02","2.23K","0.15%"
"Sep 23, 2020","136.95","137.28","137.28","137.28","0.01K","-0.25%"
"Sep 22, 2020","137.29","137.42","137.42","137.42","0.01K","-0.36%"
"Sep 21, 2020","137.79","137.81","137.81","137.81","0.00K","0.19%"
"Sep 18, 2020","137.53","136.43","136.78","136.41","-","-0.01%"
"Sep 17, 2020","137.55","136.90","136.90","136.90","0.04K","0.35%"
"Sep 16, 2020","137.07","137.21","137.21","137.06","0.01K","-0.03%"
"Sep 15, 2020","137.11","137.35","137.36","137.04","0.54K","-0.16%"
"Sep 14, 2020","137.33","137.59","137.61","137.40","2.11K","-0.12%"
"Sep 11, 2020","137.49","137.11","137.48","137.11","0.47K","0.49%"
"Sep 10, 2020","136.82","136.67","136.91","136.66","0.22K","-0.01%"
"Sep 09, 2020","136.83","137.42","137.49","136.96","0.04K","-0.53%"
"Sep 08, 2020","137.56","136.70","137.62","136.70","0.27K","0.61%"
"Sep 07, 2020","136.73","136.41","136.72","136.40","1.13K","0.04%"
"Sep 04, 2020","136.67","136.78","136.82","136.49","2.06K","-0.21%"
"Sep 03, 2020","136.96","136.92","137.02","136.68","0.70K","0.09%"
"Sep 02, 2020","136.84","136.33","136.94","136.33","1.59K","0.63%"
"Sep 01, 2020","135.98","136.02","136.16","135.58","6.33K","0.02%"
"Aug 28, 2020","135.95","135.44","136.00","135.26","9.24K","0.24%"
"Aug 27, 2020","135.63","136.25","136.55","135.55","25.50K","-0.29%"
"Aug 26, 2020","136.03","136.20","136.44","135.94","227.13K","-0.32%"
"Aug 25, 2020","136.47","137.06","137.06","136.32","481.91K","-0.54%"
"Aug 24, 2020","137.21","137.15","137.39","137.09","431.97K","0.04%"
"Aug 21, 2020","137.16","136.91","137.34","136.86","320.87K","0.13%"
"Aug 20, 2020","136.98","136.92","137.19","136.80","164.89K","0.05%"
"Aug 19, 2020","136.91","137.11","137.40","136.82","200.40K","-0.10%"
"Aug 18, 2020","137.05","137.16","137.27","136.82","215.78K","0.01%"
"Aug 17, 2020","137.03","136.82","137.12","136.71","132.02K","0.23%"
"Aug 14, 2020","136.71","136.72","136.84","136.56","143.94K","0.01%"
"Aug 13, 2020","136.70","136.96","137.15","136.54","172.47K","-0.08%"
"Aug 12, 2020","136.81","137.02","137.12","136.74","252.87K","-0.31%"
"Aug 11, 2020","137.24","138.08","138.13","137.17","279.98K","-0.64%"
"Aug 10, 2020","138.12","137.80","138.34","137.69","156.59K","0.11%"
"Aug 07, 2020","137.97","138.33","138.47","137.78","169.57K","-0.36%"
"Aug 06, 2020","138.47","137.89","138.60","137.86","224.55K","0.25%"
"Aug 05, 2020","138.13","138.73","138.78","138.03","210.29K","-0.43%"
"Aug 04, 2020","138.73","138.48","138.93","138.37","219.94K","0.17%"
"Aug 03, 2020","138.49","138.34","138.55","138.27","132.08K","-0.04%"
"Jul 31, 2020","138.55","138.70","138.86","138.32","181.09K","-0.07%"
"Jul 30, 2020","138.65","138.47","138.81","138.41","199.82K","0.27%"
"Jul 29, 2020","138.27","138.44","138.56","138.21","154.27K","-0.09%"
"Jul 28, 2020","138.39","138.18","138.51","138.08","213.53K","0.04%"
"Jul 27, 2020","138.34","138.05","138.38","137.95","136.79K","0.32%"
