"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 30, 2020","174.86","174.98","175.33","174.58","-","-0.05%"
"Nov 29, 2020","174.95","175.02","175.02","174.92","-","0.62%"
"Nov 27, 2020","173.88","172.88","173.94","172.84","-","0.25%"
"Nov 26, 2020","173.45","172.92","173.55","172.89","-","0.33%"
"Nov 25, 2020","172.88","172.97","173.66","172.53","546.55K","-0.02%"
"Nov 24, 2020","172.91","173.50","173.56","172.63","956.03K","-0.32%"
"Nov 23, 2020","173.47","174.22","174.25","173.28","825.77K","-0.39%"
"Nov 22, 2020","174.14","174.16","174.23","174.12","-","0.04%"
"Nov 20, 2020","174.06","173.91","174.28","173.47","483.65K","0.47%"
"Nov 19, 2020","173.25","172.78","173.91","172.75","463.70K","0.42%"
"Nov 18, 2020","172.53","172.91","173.47","172.16","389.41K","-0.02%"
"Nov 17, 2020","172.56","171.88","172.91","171.59","327.79K","0.38%"
"Nov 16, 2020","171.91","172.09","172.69","171.28","311.51K","-0.16%"
"Nov 13, 2020","172.19","172.34","172.84","172.00","248.28K","-0.05%"
"Nov 12, 2020","172.28","170.53","172.47","170.47","440.70K","0.95%"
"Nov 11, 2020","170.66","170.22","170.84","169.50","107.14K","0.39%"
"Nov 10, 2020","170.00","171.00","171.44","169.94","451.24K","-0.11%"
"Nov 09, 2020","170.19","173.03","173.75","169.91","646.82K","-1.80%"
"Nov 06, 2020","173.31","174.75","174.97","172.91","372.35K","-0.59%"
"Nov 05, 2020","174.34","174.63","175.84","173.94","436.11K","-0.05%"
"Nov 04, 2020","174.44","171.16","175.09","170.22","836.46K","1.40%"
"Nov 03, 2020","172.03","172.81","172.88","171.41","348.83K","-0.42%"
"Nov 02, 2020","172.75","172.16","173.19","171.97","342.06K","0.16%"
"Oct 30, 2020","172.47","173.22","173.59","172.00","580.59K","-0.22%"
"Oct 29, 2020","172.84","174.25","174.41","172.63","484.60K","-0.68%"
"Oct 28, 2020","174.03","174.38","174.91","173.94","383.14K","-0.04%"
"Oct 27, 2020","174.09","173.53","174.41","173.38","275.06K","0.29%"
"Oct 26, 2020","173.59","172.72","173.94","172.69","347.92K","0.58%"
"Oct 23, 2020","172.59","171.97","172.78","171.69","308.62K","0.15%"
"Oct 22, 2020","172.34","172.91","173.47","171.78","368.73K","-0.43%"
